,date,share_id,total_quantity,close,cum_qty,ffill_close
0,2023-01-02,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.0392,0.0,33.0392
1,2023-01-02,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,86.0400,0.0,86.0400
2,2023-01-02,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,12.0464,0.0,12.0464
3,2023-01-02,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,10.9144,0.0,10.9144
4,2023-01-02,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.4910,0.0,69.4910
5,2023-01-02,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.8214,0.0,34.8214
6,2023-01-02,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0710,0.0,1.0710
7,2023-01-02,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,,,,0
8,2023-01-02,aa5e76ca-130c-410f-827d-346fc860e57c,,,,0
9,2023-01-02,ee259433-1f77-416c-8e1a-68eba0d11da3,,,,0
10,2023-01-02,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,,,,0
11,2023-01-02,7e4e305b-f207-403c-914d-b4beb3f2900b,,,,0
12,2023-01-03,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.0914,0.0,33.0914
13,2023-01-03,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,84.8600,0.0,84.8600
14,2023-01-03,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,12.6918,0.0,12.6918
15,2023-01-03,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.1724,0.0,11.1724
16,2023-01-03,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,68.4490,0.0,68.4490
17,2023-01-03,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.7722,0.0,34.7722
18,2023-01-03,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0678,0.0,1.0678
19,2023-01-03,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,124.3748,0.0,124.3748
20,2023-01-03,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.3900,0.0,6.3900
21,2023-01-03,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,64.0200,0.0,64.0200
22,2023-01-03,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,72.6185,0.0,72.6185
23,2023-01-03,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,85.8200,0.0,85.8200
24,2023-01-04,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.4000,0.0,33.4000
25,2023-01-04,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,83.0200,0.0,83.0200
26,2023-01-04,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.4470,0.0,13.4470
27,2023-01-04,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.4247,0.0,11.4247
28,2023-01-04,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.0000,0.0,69.0000
29,2023-01-04,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.1324,0.0,34.1324
30,2023-01-04,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0547,0.0,1.0547
31,2023-01-04,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,125.6576,0.0,125.6576
32,2023-01-04,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.5800,0.0,6.5800
33,2023-01-04,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,64.6600,0.0,64.6600
34,2023-01-04,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,74.8649,0.0,74.8649
35,2023-01-04,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,85.1400,0.0,85.1400
36,2023-01-05,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.3383,0.0,33.3383
37,2023-01-05,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,81.8800,0.0,81.8800
38,2023-01-05,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.2639,0.0,13.2639
39,2023-01-05,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.3930,0.0,11.3930
40,2023-01-05,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,68.5410,0.0,68.5410
41,2023-01-05,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,33.3352,0.0,33.3352
42,2023-01-05,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0606,0.0,1.0606
43,2023-01-05,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,124.3251,0.0,124.3251
44,2023-01-05,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.3200,0.0,6.3200
45,2023-01-05,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,62.3300,0.0,62.3300
46,2023-01-05,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,74.2861,0.0,74.2861
47,2023-01-05,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,83.1200,0.0,83.1200
48,2023-01-06,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.7466,0.0,33.7466
49,2023-01-06,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,82.5200,0.0,82.5200
50,2023-01-06,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.3554,0.0,13.3554
51,2023-01-06,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.5163,0.0,11.5163
52,2023-01-06,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.1140,0.0,69.1140
53,2023-01-06,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.0438,0.0,34.0438
54,2023-01-06,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0522,0.0,1.0522
55,2023-01-06,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,128.8995,0.0,128.8995
56,2023-01-06,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.4000,0.0,6.4000
57,2023-01-06,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,63.9600,0.0,63.9600
58,2023-01-06,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,76.5815,0.0,76.5815
59,2023-01-06,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,86.0800,0.0,86.0800
60,2023-01-07,651a9c51-ccc8-4a87-9a67-8846e14df5cd,,,,33.7466
61,2023-01-07,41a5e70d-28d6-4304-bb02-432a146a6a75,,,,82.5200
62,2023-01-07,00fdb08c-91fd-49bd-9759-23efadf6f5d0,,,,13.3554
63,2023-01-07,d0ec9706-fe99-412a-ae53-323fe8537520,,,,11.5163
64,2023-01-07,63f6ce83-2742-4dfd-a6b1-c881d2b35658,,,,69.1140
65,2023-01-07,a0de175b-66b6-40c6-8d55-e6011346c172,,,,34.0438
66,2023-01-07,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,,,,1.0522
67,2023-01-07,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,,,,128.8995
68,2023-01-07,aa5e76ca-130c-410f-827d-346fc860e57c,,,,6.4000
69,2023-01-07,ee259433-1f77-416c-8e1a-68eba0d11da3,,,,63.9600
70,2023-01-07,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,,,,76.5815
71,2023-01-07,7e4e305b-f207-403c-914d-b4beb3f2900b,,,,86.0800
72,2023-01-08,651a9c51-ccc8-4a87-9a67-8846e14df5cd,,,,33.7466
73,2023-01-08,41a5e70d-28d6-4304-bb02-432a146a6a75,,,,82.5200
74,2023-01-08,00fdb08c-91fd-49bd-9759-23efadf6f5d0,,,,13.3554
75,2023-01-08,d0ec9706-fe99-412a-ae53-323fe8537520,,,,11.5163
76,2023-01-08,63f6ce83-2742-4dfd-a6b1-c881d2b35658,,,,69.1140
77,2023-01-08,a0de175b-66b6-40c6-8d55-e6011346c172,,,,34.0438
78,2023-01-08,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,,,,1.0522
79,2023-01-08,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,,,,128.8995
80,2023-01-08,aa5e76ca-130c-410f-827d-346fc860e57c,,,,6.4000
81,2023-01-08,ee259433-1f77-416c-8e1a-68eba0d11da3,,,,63.9600
82,2023-01-08,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,,,,76.5815
83,2023-01-08,7e4e305b-f207-403c-914d-b4beb3f2900b,,,,86.0800
84,2023-01-09,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.8083,0.0,33.8083
85,2023-01-09,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,82.8000,0.0,82.8000
86,2023-01-09,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.4104,0.0,13.4104
87,2023-01-09,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.5446,0.0,11.5446
88,2023-01-09,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.6030,0.0,69.6030
89,2023-01-09,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.4572,0.0,34.4572
90,2023-01-09,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0656,0.0,1.0656
91,2023-01-09,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,129.4266,0.0,129.4266
92,2023-01-09,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.5000,0.0,6.5000
93,2023-01-09,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,67.2400,0.0,67.2400
94,2023-01-09,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,78.7788,0.0,78.7788
95,2023-01-09,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,87.3600,0.0,87.3600
96,2023-01-10,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.4238,0.0,33.4238
97,2023-01-10,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,83.4200,0.0,83.4200
98,2023-01-10,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.3692,0.0,13.3692
99,2023-01-10,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.4693,0.0,11.4693
100,2023-01-10,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,68.7570,0.0,68.7570
101,2023-01-10,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.0242,0.0,34.0242
102,2023-01-10,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0733,0.0,1.0733
103,2023-01-10,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,130.0033,0.0,130.0033
104,2023-01-10,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.7000,0.0,6.7000
105,2023-01-10,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,68.0500,0.0,68.0500
106,2023-01-10,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,79.7205,0.0,79.7205
107,2023-01-10,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,89.8700,0.0,89.8700
108,2023-01-11,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.5187,0.0,33.5187
109,2023-01-11,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,78.0800,0.0,78.0800
110,2023-01-11,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.1769,0.0,13.1769
111,2023-01-11,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.6349,0.0,11.6349
112,2023-01-11,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.4700,0.0,69.4700
113,2023-01-11,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.4474,0.0,34.4474
114,2023-01-11,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0739,0.0,1.0739
115,2023-01-11,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,132.7480,0.0,132.7480
116,2023-01-11,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,6.9800,0.0,6.9800
117,2023-01-11,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,69.0600,0.0,69.0600
118,2023-01-11,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,80.2208,0.0,80.2208
119,2023-01-11,7e4e305b-f207-403c-914d-b4beb3f2900b,0.0,95.0900,0.0,95.0900
120,2023-01-12,651a9c51-ccc8-4a87-9a67-8846e14df5cd,0.0,33.8273,0.0,33.8273
121,2023-01-12,41a5e70d-28d6-4304-bb02-432a146a6a75,0.0,77.0800,0.0,77.0800
122,2023-01-12,00fdb08c-91fd-49bd-9759-23efadf6f5d0,0.0,13.1815,0.0,13.1815
123,2023-01-12,d0ec9706-fe99-412a-ae53-323fe8537520,0.0,11.7629,0.0,11.7629
124,2023-01-12,63f6ce83-2742-4dfd-a6b1-c881d2b35658,0.0,69.5520,0.0,69.5520
125,2023-01-12,a0de175b-66b6-40c6-8d55-e6011346c172,0.0,34.4966,0.0,34.4966
126,2023-01-12,9c6094ab-e3c7-4c7e-8146-610faf0d29e6,0.0,1.0766,0.0,1.0766
127,2023-01-12,b4649e1b-0313-4c5c-81e3-1f20f34ed0a8,0.0,132.6685,0.0,132.6685
128,2023-01-12,aa5e76ca-130c-410f-827d-346fc860e57c,0.0,7.0100,0.0,7.0100
129,2023-01-12,ee259433-1f77-416c-8e1a-68eba0d11da3,0.0,70.8000,0.0,70.8000
130,2023-01-12,bded3066-185d-4ce6-8bfb-b7774b6aeb2c,0.0,85.3412,0.0,85.3412
